Company,Ticker,Shares Outstanding,Market Cap
3M Co,MMM,"605,038,000.00","101,271,260,440.00"
AES Corp,AES,"659,733,000.00","7,362,620,280.00"
AFLAC Inc,AFL,"420,001,000.00","28,967,468,970.00"
AGL Resources,GAS,"120,384,000.00","7,928,490,240.00"
AMETEK Inc,AME,"235,538,000.00","11,327,022,420.00"
AT&T Inc,T,"6,151,209,000.00","238,789,933,380.00"
AbbVie Inc.,ABBV,"1,611,238,000.00","98,285,518,000.00"
Abbott Laboratories,ABT,"1,473,242,000.00","57,309,113,800.00"
Accenture plc A,ACN,"627,914,000.00","70,904,048,880.00"
Activision Blizzard Inc,ATVI,"734,998,000.00","25,335,381,060.00"
Adobe Systems Inc,ADBE,"498,330,000.00","46,952,652,600.00"
Advance Auto Parts Inc,AAP,"73,322,000.00","11,445,564,200.00"
Aetna Inc,AET,"349,600,000.00","39,249,592,000.00"
Affiliated Managers Grp,AMG,"53,992,000.00","9,195,917,440.00"
Agilent Technologies Inc,A,"327,770,000.00","13,412,348,400.00"
Air Products & Chemicals Inc,APD,"215,650,000.00","31,461,178,500.00"
Airgas Inc,ARG,"72,428,000.00","10,316,644,320.00"
Akamai Technologies Inc,AKAM,"176,748,000.00","9,012,380,520.00"
Alcoa Inc,AA,"1,314,846,000.00","14,686,829,820.00"
Alexion Pharmaceuticals Inc,ALXN,"225,291,000.00","31,378,530,480.00"
Allegion plc,ALLE,"96,097,000.00","6,289,548,650.00"
Allergan plc,AGN,"394,687,000.00","85,473,416,720.00"
Alliance Data Systems Corp,ADS,"59,261,000.00","12,048,353,910.00"
Allstate Corp,ALL,"378,300,000.00","24,608,415,000.00"
Alphabet Inc A,GOOGL,"292,581,000.00","207,112,238,280.00"
Alphabet Inc C,GOOG,"345,539,000.00","239,461,982,390.00"
Altria Group Inc,MO,"1,957,932,000.00","122,781,915,720.00"
Amazon.com Inc,AMZN,"470,842,000.00","310,562,674,780.00"
Ameren Corp,AEE,"242,635,000.00","11,646,480,000.00"
American Airlines Group Inc.,AAL,"603,018,000.00","20,918,694,420.00"
American Electric Power,AEP,"491,053,000.00","31,181,865,500.00"
American Express Co,AXP,"964,045,000.00","63,077,464,350.00"
American Intl Group Inc,AIG,"1,149,448,000.00","64,162,187,360.00"
American Tower Corp A,AMT,"423,898,000.00","44,458,422,240.00"
American Water Works Co Inc,AWK,"178,009,000.00","12,951,934,840.00"
Ameriprise Financial Inc,AMP,"168,971,000.00","16,204,318,900.00"
AmerisourceBergen Corp,ABC,"225,425,000.00","19,183,667,500.00"
Amgen Inc,AMGN,"752,091,000.00","119,056,005,300.00"
Amphenol Corp A,APH,"308,038,000.00","17,197,761,540.00"
Anadarko Petroleum Corp,APC,"508,439,000.00","26,825,241,640.00"
Analog Devices Inc,ADI,"310,019,000.00","17,460,270,080.00"
Anthem Inc,ANTM,"261,352,000.00","36,790,521,040.00"
Aon plc,AON,"270,082,000.00","28,391,019,840.00"
Apache Corp,APA,"378,298,000.00","20,579,411,200.00"
Apartment Investment & Mgmt,AIV,"156,600,000.00","6,273,396,000.00"
Apple Inc.,AAPL,"5,544,583,000.00","519,749,210,420.00"
Applied Materials Inc,AMAT,"1,130,725,000.00","23,145,940,750.00"
Archer-Daniels-Midland Co,ADM,"595,329,000.00","23,777,440,260.00"
Assurant Inc,AIZ,"64,777,000.00","5,478,190,890.00"
AutoNation Inc,AN,"107,225,000.00","5,430,946,250.00"
AutoZone Inc,AZO,"30,208,000.00","23,116,067,840.00"
Autodesk Inc,ADSK,"225,323,000.00","13,478,821,860.00"
Automatic Data Processing,ADP,"457,451,000.00","40,456,966,440.00"
AvalonBay Communities Inc,AVB,"137,003,000.00","24,220,760,370.00"
Avery Dennison Corp,AVY,"89,431,000.00","6,493,584,910.00"
BB&T Corp,BBT,"811,938,000.00","28,726,366,440.00"
Baker Hughes Inc,BHI,"437,854,000.00","21,174,619,440.00"
Ball Corp,BLL,"141,713,000.00","10,115,473,940.00"
Bank of America Corp,BAC,"10,325,631,000.00","150,341,187,360.00"
Bard C.R. Inc,BCR,"73,735,000.00","15,644,354,950.00"
Baxalta Inc,BXLT,"681,241,000.00","28,578,059,950.00"
Baxter Intl Inc,BAX,"547,872,000.00","24,226,899,840.00"
Becton Dickinson & Co,BDX,"211,817,000.00","34,157,609,420.00"
Bed Bath & Beyond Inc,BBBY,"163,587,000.00","7,724,578,140.00"
Berkshire Hathaway B,BRK.B,"2,465,196,000.00","358,636,714,080.00"
Best Buy Co Inc,BBY,"323,828,000.00","10,388,402,240.00"
Biogen Inc,BIIB,"218,673,000.00","60,132,888,270.00"
BlackRock Inc,BLK,"163,942,000.00","58,417,452,860.00"
Block H & R Inc,HRB,"235,950,000.00","4,775,628,000.00"
Boeing Co,BA,"662,504,000.00","89,305,539,200.00"
Borgwarner Inc,BWA,"218,639,000.00","7,853,512,880.00"
Boston Properties Inc,BXP,"153,592,000.00","19,791,865,120.00"
Boston Scientific Corp,BSX,"1,348,346,000.00","29,555,744,320.00"
Bristol-Myers Squibb,BMY,"1,669,459,000.00","120,501,550,620.00"
Broadcom Limited,AVGO,"390,316,000.00","56,888,557,000.00"
Brown-Forman Corp B,BF.B,"115,518,000.00","11,126,693,760.00"
CA Inc,CA,"416,763,000.00","12,361,190,580.00"
CBRE Group Inc.,CBG,"334,241,000.00","9,903,560,830.00"
CBS Corp B,CBS,"421,814,000.00","23,583,620,740.00"
CF Industries Holdings,CF,"233,083,000.00","7,708,054,810.00"
CH Robinson Worldwide Inc,CHRW,"143,243,000.00","10,165,955,710.00"
CME Group Inc A,CME,"338,413,000.00","31,103,538,830.00"
CMS Energy Corp,CMS,"277,167,000.00","11,275,153,560.00"
CSRA Inc,CSRA,"162,230,000.00","4,211,490,800.00"
CSX Corporation,CSX,"963,150,000.00","26,265,100,500.00"
CVS Health Corporation,CVS,"1,098,491,000.00","110,398,345,500.00"
Cablevision Systems Co A,CVC,"222,522,000.00","7,430,009,580.00"
Cabot Oil & Gas A,COG,"458,060,000.00","10,718,604,000.00"
Campbell Soup Co,CPB,"310,031,000.00","19,132,013,010.00"
Capital One Financial,COF,"527,380,000.00","38,177,038,200.00"
Cardinal Health Inc,CAH,"329,330,000.00","25,839,231,800.00"
Carmax Inc,KMX,"195,729,000.00","10,363,850,550.00"
Carnival Corp,CCL,"577,745,000.00","28,338,392,250.00"
Caterpillar Inc,CAT,"582,322,000.00","45,258,065,840.00"
Celgene Corp,CELG,"781,665,000.00","80,831,977,650.00"
Centene Corp,CNC,"169,943,348.00","10,529,689,842.08"
Centerpoint Energy Inc,CNP,"430,272,000.00","9,229,334,400.00"
CenturyLink Inc,CTL,"543,853,000.00","16,832,250,350.00"
Cerner Corp,CERN,"340,017,000.00","19,088,554,380.00"
Chesapeake Energy Corp,CHK,"663,358,000.00","4,557,269,460.00"
Chevron Corp,CVX,"1,883,156,000.00","192,420,880,080.00"
Chipotle Mexican Grill Inc.,CMG,"30,044,000.00","12,647,622,680.00"
Chubb Limited,CB,"460,846,000.00","54,315,309,560.00"
Church & Dwight Co,CHD,"129,725,000.00","12,025,507,500.00"
Cigna Corporation,CI,"255,766,000.00","35,433,821,640.00"
Cimarex Energy Co,XEC,"94,820,000.00","10,324,001,600.00"
Cincinnati Financial Corp,CINF,"164,340,000.00","10,848,083,400.00"
Cintas Corp,CTAS,"108,130,000.00","9,707,911,400.00"
Cisco Systems Inc,CSCO,"5,032,121,000.00","138,333,006,290.00"
Citigroup Inc,C,"2,948,120,000.00","136,438,993,600.00"
Citizens Financial Group Inc,CFG,"527,812,000.00","12,060,504,200.00"
Citrix Systems Inc,CTXS,"153,980,000.00","12,601,723,200.00"
Clorox Co,CLX,"129,446,000.00","16,210,522,580.00"
Coach Inc,COH,"277,696,000.00","11,182,817,920.00"
Coca-Cola Co,KO,"4,329,498,000.00","193,961,510,400.00"
Coca-Cola Enterprises,CCE,"227,338,000.00","11,930,698,240.00"
Cognizant Tech Solutions Corp,CTSH,"609,120,000.00","35,554,334,400.00"
Colgate-Palmolive Co,CL,"892,739,000.00","63,313,049,880.00"
Columbia Pipeline Group,CPGX,"399,841,000.00","10,243,926,420.00"
Comcast Corp A,CMCSA,"2,432,954,000.00","147,826,285,040.00"
Comerica Inc (MI),CMA,"174,878,000.00","7,764,583,200.00"
