Sym,Var
a,Ask
a2,AverageDailyVolume
a5,AskSize
b,Bid
b2,Ask(Realtime)
b3,Bid(Realtime)
b4,BookValue
b6,BidSize
c,Change&PercentChange
c1,Change
c3,Commission
c6,Change(Realtime)
c8,AfterHoursChange(Realtime)
d,DividendperShare
d1,LastTradeDate
d2,TradeDate
e,EarningsperShare
e7,EPSEstimateCurrentYear
e8,EPSEstimateNextYear
e9,EPSEstimateNextQuarter
f6,FloatShares
g,DaysLow
g1,HoldingsGainPercent
g3,AnnualizedGain
g4,HoldingsGain
g5,HoldingsGainPercent(Realtime)
g6,HoldingsGain(Realtime)
h,DaysHigh
i5,OrderBook(Realtime)
j,52weekLow
j1,MarketCapitalization
j2,SharesOutstanding
j3,MarketCap(Realtime)
j4,EBITDA
j5,ChangeFrom52WeekLow
j6,PercentChangeFrom52weekLow
k,52WeekHigh
k1,LastTrade(Realtime)WithTime
k2,ChangePercent(Realtime)
k3,LastTradeSize
k4,ChangeFrom52weekHigh
k5,PercentChangeFrom52weekHigh
l,LastTrade(WithTime)
l1,LastTrade(PriceOnly)
l2,HighLimit
l3,LowLimit
m,DaysRange
m2,DaysRange(Realtime)
m3,50DayMovingAverage
m4,200DayMovingAverage
m5,ChangeFrom200DayMovingAverage
m6,PercentChangeFrom200DayMovingAverage
m7,ChangeFrom50DayMovingAverage
m8,PercentChangeFrom50DayMovingAverage
n,Name
n4,Notes
o,Open
p,PreviousClose
p1,PricePaid
p2,ChangeinPercent
p5,Price/Sales
p6,Price/Book
q,Ex-DividendDate
r,P/ERatio
r1,DividendPayDate
r2,P/ERatio(Realtime)
r5,PEGRatio
r6,Price/EPSEstimateCurrentYear
r7,Price/EPSEstimateNextYear
s,Symbol
s1,SharesOwned
s6,Revenue
s7,ShortRatio
t1,LastTradeTime
t6,TradeLinks
t7,TickerTrend
t8,1yrTargetPrice
v,MoreInfo
v,Volume
v1,HoldingsValue
v7,HoldingsValue(Realtime)
w,52weekRange
w1,DaysValueChange
w4,DaysValueChange(Realtime)
x,StockExchange
y,DividendYield
